,Initial Capital,Final Equity,Total Return %,Annualized Return %,Max Drawdown %,Total Trades,Win Rate %,Sharpe Ratio,Sortino Ratio,trend_ema,fast_ema,slow_ema,signal_ema,atr_period,atr_mult,rsi_upper,rsi_lower,enable_trailing,trailing_trigger_atr,trailing_dist_atr,enable_partial_take_profit,take_profit_atr,tp_size,risk_per_trade
37,10000,30395.421462079816,203.95421462079815,28.367085284021964,-25.493095088256123,50,46.0,1.0320628280319606,0.9855854021888737,200,15,26,9,14,1.5,80,25,False,1.5,1.0,True,3.0,0.5,0.95
9,10000,30026.471638525978,200.2647163852598,28.01541460060164,-26.189991969027954,50,50.0,1.0175429776399603,0.8119506956942392,200,15,26,9,14,1.5,80,25,True,1.5,1.5,False,2.0,0.5,0.95
11,10000,30026.471638525978,200.2647163852598,28.01541460060164,-26.189991969027954,50,50.0,1.0175429776399603,0.8119506956942392,200,15,26,9,14,1.5,80,25,True,1.5,1.5,False,4.0,0.5,0.95
10,10000,30026.471638525978,200.2647163852598,28.01541460060164,-26.189991969027954,50,50.0,1.0175429776399603,0.8119506956942392,200,15,26,9,14,1.5,80,25,True,1.5,1.5,False,3.0,0.5,0.95
15,10000,27559.37922589699,175.59379225896993,25.573546775534005,-21.984354240592133,50,54.0,1.003359235144706,0.7580732812860163,200,15,26,9,14,1.5,80,25,True,2.0,1.0,False,2.0,0.5,0.95
16,10000,27559.37922589699,175.59379225896993,25.573546775534005,-21.984354240592133,50,54.0,1.003359235144706,0.7580732812860163,200,15,26,9,14,1.5,80,25,True,2.0,1.0,False,3.0,0.5,0.95
17,10000,27559.37922589699,175.59379225896993,25.573546775534005,-21.984354240592133,50,54.0,1.003359235144706,0.7580732812860163,200,15,26,9,14,1.5,80,25,True,2.0,1.0,False,4.0,0.5,0.95
54,10000,27320.035878699244,173.20035878699244,25.327743831938054,-24.018590405048883,50,42.0,0.9876350175898315,0.8957796267767475,200,15,26,9,14,1.5,80,25,False,2.0,1.5,True,2.0,0.5,0.95
48,10000,27320.035878699244,173.20035878699244,25.327743831938054,-24.018590405048883,50,42.0,0.9876350175898315,0.8957796267767475,200,15,26,9,14,1.5,80,25,False,2.0,1.0,True,2.0,0.5,0.95
36,10000,27320.035878699244,173.20035878699244,25.327743831938054,-24.018590405048883,50,42.0,0.9876350175898315,0.8957796267767475,200,15,26,9,14,1.5,80,25,False,1.5,1.0,True,2.0,0.5,0.95
42,10000,27320.035878699244,173.20035878699244,25.327743831938054,-24.018590405048883,50,42.0,0.9876350175898315,0.8957796267767475,200,15,26,9,14,1.5,80,25,False,1.5,1.5,True,2.0,0.5,0.95
60,10000,27320.035878699244,173.20035878699244,25.327743831938054,-24.018590405048883,50,42.0,0.9876350175898315,0.8957796267767475,200,15,26,9,14,1.5,80,25,False,3.0,1.0,True,2.0,0.5,0.95
66,10000,27320.035878699244,173.20035878699244,25.327743831938054,-24.018590405048883,50,42.0,0.9876350175898315,0.8957796267767475,200,15,26,9,14,1.5,80,25,False,3.0,1.5,True,2.0,0.5,0.95
7,10000,26487.369346292067,164.87369346292067,24.45938002871946,-27.216032265162028,50,50.0,0.9669073669597642,0.7664652548549226,200,15,26,9,14,1.5,80,25,True,1.5,1.5,True,3.0,0.5,0.95
14,10000,26219.23467403348,162.1923467403348,24.175246298485575,-22.506957378901966,50,54.0,0.9644096049611626,0.7311447686721875,200,15,26,9,14,1.5,80,25,True,2.0,1.0,True,4.0,0.5,0.95
32,10000,26206.542092302534,162.06542092302533,24.16174062662728,-24.98395445465043,50,48.0,0.9152249390077765,0.7771564031481902,200,15,26,9,14,1.5,80,25,True,3.0,1.5,True,4.0,0.5,0.95
8,10000,26150.27774350287,161.5027774350287,24.101810824600946,-26.16686941466517,50,50.0,0.9322974329997902,0.7483023878112343,200,15,26,9,14,1.5,80,25,True,1.5,1.5,True,4.0,0.5,0.95
31,10000,26125.014994740417,161.25014994740417,24.074869756080354,-26.04992643163974,50,48.0,0.9345635994257524,0.7834067033840413,200,15,26,9,14,1.5,80,25,True,3.0,1.5,True,3.0,0.5,0.95
29,10000,25765.78531562135,157.6578531562135,23.68957145860273,-23.94147548923261,50,48.0,0.9261376890895642,0.7541911785162555,200,15,26,9,14,1.5,80,25,True,3.0,1.0,False,4.0,0.5,0.95
28,10000,25765.78531562135,157.6578531562135,23.68957145860273,-23.94147548923261,50,48.0,0.9261376890895642,0.7541911785162555,200,15,26,9,14,1.5,80,25,True,3.0,1.0,False,3.0,0.5,0.95
27,10000,25765.78531562135,157.6578531562135,23.68957145860273,-23.94147548923261,50,48.0,0.9261376890895642,0.7541911785162555,200,15,26,9,14,1.5,80,25,True,3.0,1.0,False,2.0,0.5,0.95
18,10000,25233.37011938913,152.3337011938913,23.11078560513904,-21.40600526363624,50,54.0,0.9528182463996773,0.7379334116953311,200,15,26,9,14,1.5,80,25,True,2.0,1.5,True,2.0,0.5,0.95
13,10000,25213.39997010592,152.1339997010592,23.08889261245377,-23.600358712693033,50,54.0,0.9351049834439936,0.6943258614747454,200,15,26,9,14,1.5,80,25,True,2.0,1.0,True,3.0,0.5,0.95
26,10000,24820.386067398646,148.20386067398644,22.655275979758137,-24.450968466155786,50,48.0,0.8994572854537447,0.733367637500983,200,15,26,9,14,1.5,80,25,True,3.0,1.0,True,4.0,0.5,0.95
5,10000,24641.113007430293,146.41113007430292,22.45571205963055,-23.822805178873438,50,54.0,0.9283989984762531,0.6515854013167383,200,15,26,9,14,1.5,80,25,True,1.5,1.0,False,4.0,0.5,0.95
3,10000,24641.113007430293,146.41113007430292,22.45571205963055,-23.822805178873438,50,54.0,0.9283989984762531,0.6515854013167383,200,15,26,9,14,1.5,80,25,True,1.5,1.0,False,2.0,0.5,0.95
4,10000,24641.113007430293,146.41113007430292,22.45571205963055,-23.822805178873438,50,54.0,0.9283989984762531,0.6515854013167383,200,15,26,9,14,1.5,80,25,True,1.5,1.0,False,3.0,0.5,0.95
25,10000,23911.483950128648,139.11483950128647,21.631695838058995,-25.516940443145113,50,48.0,0.8739508147358853,0.695424729138998,200,15,26,9,14,1.5,80,25,True,3.0,1.0,True,3.0,0.5,0.95
30,10000,23431.746284847857,134.31746284847856,21.07921270329358,-22.359999420452162,50,44.0,0.8835055388030888,0.6945245358206822,200,15,26,9,14,1.5,80,25,True,3.0,1.5,True,2.0,0.5,0.95
2,10000,23230.819067888344,132.30819067888345,20.845209338682015,-24.333093092197018,50,54.0,0.8768464406182425,0.6151780617946474,200,15,26,9,14,1.5,80,25,True,1.5,1.0,True,4.0,0.5,0.95
1,10000,22300.28091586591,123.0028091586591,19.740563421651135,-25.400728251928246,50,54.0,0.8409056495768138,0.5840147628944519,200,15,26,9,14,1.5,80,25,True,1.5,1.0,True,3.0,0.5,0.95
12,10000,21935.678460154464,119.35678460154465,19.297984117131616,-20.126850652499606,50,54.0,0.8452138980694016,0.5973711901151602,200,15,26,9,14,1.5,80,25,True,2.0,1.0,True,2.0,0.5,0.95
24,10000,21412.087499214816,114.12087499214816,18.65232774918386,-21.79105001177607,50,44.0,0.8179426399956571,0.6064885926167333,200,15,26,9,14,1.5,80,25,True,3.0,1.0,True,2.0,0.5,0.95
6,10000,21230.286911414893,112.30286911414893,18.42528030226347,-25.010191568554994,50,50.0,0.806113447762079,0.6033107057737224,200,15,26,9,14,1.5,80,25,True,1.5,1.5,True,2.0,0.5,0.95
0,10000,19650.256248514328,96.50256248514329,16.385692533822205,-23.130663455565305,50,54.0,0.7546415429236094,0.5007694723648749,200,15,26,9,14,1.5,80,25,True,1.5,1.0,True,2.0,0.5,0.95
